"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Protocol","Protocol","Protocol","Protocol","Protocol","协议","Protocolo","протокол","Nghị định thư","プロトコル","protokoll","실험 계획안","ప్రోటోకాల్","मसविदा बनाना","بروتوكول"
"Nova","Nova","Nova","Nova","Nova","新星","Estrella nueva","Новая звезда","tân tinh","新星","Nova","신성","నోవా","नया तारा","نوفا"
"Deletion","Deletion","Deletion","Deletion","Deletion","删除","Supresión","делеция","xóa","削除","sletting","삭제","తొలగింపు","विलोपन","حذف"
"Regular","Regular","Regular","Regular","Regular","定期","Regular","регулярное","Đều đặn","定期的な","Regelmessig","정규병","రెగ్యులర్","नियमित","منتظم"
"Brown Dwarf","Brown Dwarf","Brown Dwarf","Brown Dwarf","Brown Dwarf","褐矮星","enana marrón","Коричневый карлик","Brown Dwarf","褐色矮星","Brown Dwarf","브라운 드워프","బ్రౌన్ డ్వార్ఫ్","भूरा बौना","براون القزم"
"White Dwarf","White Dwarf","White Dwarf","White Dwarf","White Dwarf","白矮星","Enano blanco","Белый Гном","Sao lùn trắng","白色矮星","white Dwarf","백색 왜성","వైట్ డ్వార్ఫ్","व्हाइट द्वार्फ","قزم ابيض"
"Neutron Star","Neutron Star","Neutron Star","Neutron Star","Neutron Star","中子星","Estrella neutrón","Neutron Star","Ngôi sao neutron","中性子星","nøytronstjerne","중성자 별","న్యూట్రాన్ స్టార్","न्यूट्रॉन स्टार","النجم النيوتروني"
"DEFAULT","DEFAULT","DEFAULT","DEFAULT","DEFAULT","默认","DEFECTO","ПО УМОЛЧАНИЮ","MẶC ĐỊNH","デフォルト","MISLIGHOLDE","태만","డిఫాల్ట్","चूक","DEFAULT"
"FRAGMENTATION","FRAGMENTATION","FRAGMENTATION","FRAGMENTATION","FRAGMENTATION","破碎","FRAGMENTACIÓN","ФРАГМЕНТАЦИЯ","phân mảnh","および断片化","FRAGMENTERING","분열","ఫ్రాగ్మెంటేషన్","विखंडन","من التشظي"
"Rock","Rock","Rock","Rock","Rock","岩","Rock","рок","Đá","岩","Stein","록","రాక్","चट्टान","صخرة"
"Terran","Terran","Terran","Terran","Terran","人族","Terran","Terran","Terran","テラン","Terran","테란","Terran","Terran","أرضي"
"Desert","Desert","Desert","Desert","Desert","沙漠","Desierto","пустынный","Sa mạc","砂漠","Ørken","사막","ఎడారి","रेगिस्तान","صحراء"
"Ice","Ice","Ice","Ice","Ice","冰","Hielo","лед","Nước đá","氷","Is","얼음","ఐస్","बर्फ","جليد"
"Local Laplace","Local Laplace","Local Laplace","Local Laplace","Local Laplace","当地拉普拉斯","Laplace local","Местное Лаплас","Laplace địa phương","ローカルラプラス","lokal Laplace","지역 라플라스","స్థానిక లాప్లేస్","स्थानीय लाप्लास","لابلاس المحلي"
"Ecliptic","Ecliptic","Ecliptic","Ecliptic","Ecliptic","黄道","Eclíptica","эклиптика","hoàng đạo","黄道","ekliptikken","황도","రవి మార్గం","क्रांतिवृत्त","مسير الشمس"
"Equatorial","Equatorial","Equatorial","Equatorial","Equatorial","赤道","Ecuatorial","экваториальный","thuộc về xích đạo","赤道の","Ekvatorial","매우 무더운","ఈక్వటోరియల్","भूमध्यरेखीय","استوائي"
"Charon","Charon","Charon","Charon","Charon","卡戎","Caronte","Харон","Charon","カロン","Charon","카론","కేరోన్","कैरन","شارون"
"RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5","RCP8 5"
"RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6","RCP6"
"RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5","RCP4 5"
"RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6","RCP2 6"
"Levels","Levels","Levels","Levels","Levels","水平","niveles","Уровни","mức","レベル","nivåer","레벨","స్థాయిలు","स्तर","مستويات"
"Seed","Seed","Seed","Seed","Seed","种子","Semilla","семя","hạt","シード","Frø","씨","సీడ్","बीज","بذرة"
"StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity","StarIntensity"
"Brightness","Brightness","Brightness","Brightness","Brightness","亮度","Brillo","яркость","độ sáng","輝度","lysstyrke","명도","ప్రకాశం","चमक","سطوع"
"Contrast","Contrast","Contrast","Contrast","Contrast","对比","Contraste","контрастировать","Tương phản","コントラスト","Kontrast","대조","విరుద్ధంగా","विरोध","تناقض"
"Saturation","Saturation","Saturation","Saturation","Saturation","饱和","Saturación","насыщение","bão hòa","飽和","metning","포화","సంతృప్తి","परिपूर्णता","التشبع"
"ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizo​​n","ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizo​​n","ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizon","ClampToHorizon"
"Colors","Colors","Colors","Colors","Colors","颜色","Colores","Цвета","Màu sắc","色","Farger","그림 물감","రంగులు","रंग की","الألوان"
"BaseColor","BaseColor","BaseColor","BaseColor","BaseColor","基本颜色","Color de base","BaseColor","Màu cơ bản","BaseColor","BaseColor","BaseColor","BaseColor","आधारभूत रंग","اللون الأساسي"
"Color1","Color1","Color1","Color1","Color1","COLOR1","color1","Color1","COLOR1","カラー1","Farge1","COLOR1","Color1","रंग 1","COLOR1"
"Color2","Color2","Color2","Color2","Color2","COLOR2","color2","Color2","COLOR2","カラー2","COLOR2","COLOR2","Color2","रंग 2","COLOR2"
"Solid Color","Solid Color","Solid Color","Solid Color","Solid Color","纯色","Color sólido","Solid Color","Màu rắn","ソリッドカラー","Ensfarget","단색","ఘన రంగు","ठोस रंग","اللون الصامد"
"Texture","Texture","Texture","Texture","Texture","质地","Textura","текстура","Kết cấu","テクスチャー","Tekstur","조직","రూపము","बनावट","الملمس"
"Mode","Mode","Mode","Mode","Mode","模式","Modo","Режим","Chế độ","モード","Modus","방법","మోడ్","मोड","الوضع"
"Manual","Manual","Manual","Manual","Manual","手册","Manual","Руководство","Hướng dẫn sử dụng","マニュアル","Håndbok","조작","మాన్యువల్","गाइड","كتيب"
"Automatic","Automatic","Automatic","Automatic","Automatic","自动","Automático","автоматическая","Tự động","オートマチック","Automatisk","오토매틱","స్వయంచాలక","स्वचालित","أوتوماتيكي"
"AmbientLight","AmbientLight","AmbientLight","AmbientLight","AmbientLight","环境光","Luz ambiental","Окружающий свет","Ánh sáng môi trường xung quanh","AmbientLight","Omgivelseslys","주변 광","AmbientLight","परिवेश प्रकाश","الإضاءة المحيطة"
"Manual Ambient Color","Manual Ambient Color","Manual Ambient Color","Manual Ambient Color","Manual Ambient Color","手册环境色","Manual ambiente color","Ручная Цвет Ambient","Hướng dẫn sử dụng Ambient Color","マニュアル周囲の色","Manuell Ambient Farge","수동 주위 색","మాన్యువల్ పరిసర రంగు","मैनुअल परिवेश रंग","دليل المحيطة اللون"
"Ambient Brightness","Ambient Brightness","Ambient Brightness","Ambient Brightness","Ambient Brightness","环境亮度","luminosidad ambiental","Окружающая Яркость","Độ sáng môi trường xung quanh","周囲の明るさ","ambient Lysstyrke","주위 밝기","పరిసర ప్రకాశం","परिवेश चमक","السطوع المحيطة"
"BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation","BackgroundRotation"
"BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource","BackgroundTextureSource"
"Save as...","Save as...","Save as...","Save as...","Save as...","另存为...","Guardar como...","Сохранить как...","Lưu thành...","名前を付けて保存...","Lagre som...","다른 이름으로 저장...","గా సేవ్ ...","के रूप रक्षित करें...","حفظ ك ..."
"StartDate","StartDate","StartDate","StartDate","StartDate","开始日期","Fecha de inicio","Дата начала","StartDate","開始日","Startdato","STARTDATE","ప్రారంబపు తేది","आरंभ करने की तिथि","تاريخ البدء"
"StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused","StartPaused"
"Body A","Body A","Body A","Body A","Body A","形体将","Un cuerpo","Тело","cơ thể","ボディA","Body A","몸체","శరీరం","शरीर एक","جسد"
"Rotation Period","Rotation Period","Rotation Period","Rotation Period","Rotation Period","自转周期","Periodo de rotación","Вращение Период","Thời gian luân chuyển","ローテーション間隔","rotasjon periode","회전 기간","భ్రమణ కాలం","रोटेशन अवधि","فترة الدوران"
"Body B","Body B","Body B","Body B","Body B","体B","cuerpo B","Тело B","Body B","ボディB","Body B","바디 B","శరీర B","शरीर बी","الجسم B"
"Collider Count","Collider Count","Collider Count","Collider Count","Collider Count","撞机计数","Conde colisionador","коллайдер граф","Đếm Collider","衝突カウント","Collider Count","Collider의 카운트","కొలైడర్ కౌంట్","कोलाइडर गणना","عدد المصادم"
"Sec Before Collision (real time)","Sec Before Collision (real time)","Sec Before Collision (real time)","Sec Before Collision (real time)","Sec Before Collision (real time)","二段碰撞前（实时）","Seg antes de la colisión (en tiempo real)","Sec до столкновения (в реальном времени)","Sec Trước khi va chạm (thời gian thực)","衝突前秒（リアルタイム）","Sec Før Kollisjon (sanntid)","충돌하기 전에 초 (실시간)","తాకిడి ముందు క్షణ (నిజ సమయంలో)","टक्कर से पहले सेक (वास्तविक समय)","ثانية قبل التصادم (الوقت الحقيقي)"
"Pos H Offset in Rad A","Pos H Offset in Rad A","Pos H Offset in Rad A","Pos H Offset in Rad A","Pos H Offset in Rad A","波什^ h偏移的拉德一","Pos H Offset en Rad A","Поз Н Смещение в Rad A","Pos H Offset trong Rad Một","POS HはラッドAのオフセット","Pos H Offset i Rad A","포스 H는 라드 (A)에 오프셋","పోస్ H రాడ్ ఒక లో ఆఫ్సెట్","स्थिति एच रेड ए में ऑफसेट","نقاط البيع H أوفست في راد A"
"Pos V Offset in Rad A","Pos V Offset in Rad A","Pos V Offset in Rad A","Pos V Offset in Rad A","Pos V Offset in Rad A","波什垂直偏移在拉德一","Pos V Offset en Rad A","Поз V Смещение в Rad A","Pos V Offset trong Rad Một","POS VはラッドAのオフセット","Pos V Offset i Rad A","포스 V는 라드 (A)에 오프셋","పోస్ V రాడ్ ఒక లో ఆఫ్సెట్","स्थिति वी रेड ए में ऑफसेट","نقاط البيع V أوفست في راد A"
"Angle H","Angle H","Angle H","Angle H","Angle H","角h","ángulo H","Угол H","góc H","角度H","vinkel H","각도 H","యాంగిల్ H","कोण एच","زاوية H"
"Angle V","Angle V","Angle V","Angle V","Angle V","角度v","ángulo de V","Угол V","góc V","角度V","vinkel V","각도 V","యాంగిల్ V","कोण वी","زاوية V"
"Time Between Colliders","Time Between Colliders","Time Between Colliders","Time Between Colliders","Time Between Colliders","时间对撞机之间","Tiempo entre Colliders","Время между коллайдерами","Thời Khắc Giữa Các máy va chạm","コライダー間の時間","Time Between colliders","Colliders 사이의 시간","ఘర్షణములాంటి మధ్య సమయం","Colliders के बीच समय","الوقت بين مصادمات"
"System","System","System","System","System","系统","Sistema","система","hệ thống","システム","System","체계","వ్యవస్థ","प्रणाली","النظام"
"A + B Groups","A + B Groups","A + B Groups","A + B Groups","A + B Groups","A + B组","A Grupos + B","A + B Группы","Một nhóm + B","+ Bグループ","A + B grupper","A + B 그룹","A + B గుంపులు","ए + बी समूह","A + B المجموعات"
"Time Offset Each Group","Time Offset Each Group","Time Offset Each Group","Time Offset Each Group","Time Offset Each Group","时间偏移每个组","Cada vez Offset Grupo","Смещение времени Каждая группа","Thời gian offset Mỗi Nhóm","時間は、各グループのオフセット","Tidsforskyvning Hver gruppe","시간은 각 그룹 오프셋","సమయం ప్రతి గ్రూప్ ఆఫ్సెట్","समय ऑफसेट प्रत्येक समूह","الوقت إزاحة كل مجموعة"
"Collision Resolution","Collision Resolution","Collision Resolution","Collision Resolution","Collision Resolution","冲突解决","Resolución de colisiones","Столкновение Разрешение","Nghị quyết va chạm","衝突解決","kollisjon Oppløsning","충돌 해결","తాకిడి రిజల్యూషన్","टकराव संकल्प","قرار تصادم"
"Velocity X","Velocity X","Velocity X","Velocity X","Velocity X","速度x","velocidad X","Скорость X","Velocity X","ベロシティーX","Velocity X","속도 X","వెలాసిటీ X","वेग एक्स","سرعة X"
"Velocity Y","Velocity Y","Velocity Y","Velocity Y","Velocity Y","速度ÿ","Velocity Y","Скорость Y","Velocity Y","速度Y","Velocity Y","속도 Y","వెలాసిటీ Y","वेग Y","سرعة Y"
"Velocity Z","Velocity Z","Velocity Z","Velocity Z","Velocity Z","速度ž","velocidad Z","Скорость Z","Velocity Z","ベロシティZ","Velocity Z","속도 Z","వెలాసిటీ Z","वेग जेड","سرعة Z"
"Time Step Rate","Time Step Rate","Time Step Rate","Time Step Rate","Time Step Rate","时间步长率","Tiempo Step Rate","Время Step Rate","Thời gian Bước Rate","時間ステップレート","Tid tråkkfrekvens","시간 단계 평가","సమయం దశ రేటు","समय कदम दर","الساعة أسعار الخطوة"
"Real Time","Real Time","Real Time","Real Time","Real Time","即时的","Tiempo real","реальное время","Thời gian thực","リアルタイム","real Time","실시간","రియల్ టైమ్","रियल टाइम","في الوقت الحالى"
"Time Step Mode","Time Step Mode","Time Step Mode","Time Step Mode","Time Step Mode","时间步模式","Modo Paso Tiempo","Режим Step Time","Thời gian Chế độ Bước","時間ステップモード","Tid Trinn Mode","시간 단계 모드","సమయం దశ మోడ్","समय चरण मोड","وضع الخطوة مرة"
"Reset Camera","Reset Camera","Reset Camera","Reset Camera","Reset Camera","重置相机","Restablecer cámara","Сброс камеры","reset máy ảnh","カメラをリセット","reset Camera","카메라 재설정","కెమెరా రీసెట్","रीसेट कैमरा","كاميرا إعادة تعيين"
"Options","Options","Options","Options","Options","选项","opciones","Опции","tùy chọn","オプション","alternativer","옵션","ఎంపికలు","विकल्प","خيارات"
"Initialize Climate","Initialize Climate","Initialize Climate","Initialize Climate","Initialize Climate","气候初始化","inicializar climático","Инициализировать климат","khởi khí hậu","気候を初期化します","initial~~POS=TRUNC Klima","기후 초기화","వాతావరణ ప్రారంభించును","प्रारंभ जलवायु","تهيئة المناخ"
"Body","Body","Body","Body","Body","身体","Cuerpo","тело","Thân hình","体","Kropp","신체","శరీర","तन","الجسم"
"Separation in Radii","Separation in Radii","Separation in Radii","Separation in Radii","Separation in Radii","分离在半径","La separación de los radios","Разделение в радиусах","Tách trong Bán kính","半径の分離","Separasjon i Radii","반경에서 분리","లో radii ఎడబాటు","Radii में पृथक्करण","فصل في أنصاف الأقطار"
"Upward Velocity Scale","Upward Velocity Scale","Upward Velocity Scale","Upward Velocity Scale","Upward Velocity Scale","向上的速度规模","Escala de velocidad ascendente","Скорость вверх Масштаб","Quy mô Velocity trở lên","上向きの速度スケール","Oppover Velocity Scale","상승 속도 스케일","అప్వార్డ్ వెలాసిటీ స్కేల్","ऊपर की ओर वेग स्केल","التصاعدي مقياس السرعة"
"Randomize","Randomize","Randomize","Randomize","Randomize","随机化","aleatorizar","Перемешайте","randomize","ランダム化","Tilfeldig","무작위","రాండమ్","अनियमित करें","عشوائية"
"Randomize Mass","Randomize Mass","Randomize Mass","Randomize Mass","Randomize Mass","随机质量","Selección aleatoria de la misa","Перемешайте мессу","randomize Thánh lễ","マスをランダム","Tilfeldig Mass","질량을 무작위","మాస్ రాండమ్","अनियमित मास","بطريقة عشوائية الشامل"
"Perturb Pos in Radii","Perturb Pos in Radii","Perturb Pos in Radii","Perturb Pos in Radii","Perturb Pos in Radii","干扰波什在半径","Pos perturbar en radios","Возмущать Pos радиусов","Xáo trộn Pos trong Bán kính","半径の順位を混乱させる","Forurolige Pos i radier","반경에 순위를 교란","లో radii పోస్ పరచు","Radii में स्थिति उपद्रव","التشويش على نقاط البيع في أنصاف الأقطار"
"Rate","Rate","Rate","Rate","Rate","率","Tarifa","Ставка","Tỷ lệ","レート","Sats","율","రేటు","मूल्यांकन करें","معدل"
"Integrator","Integrator","Integrator","Integrator","Integrator","积分","Integrador","интегратор","máy tích phân","インテグレータ","Integrator","적분기","ఇంటిగ్రేటర్","जोड़नेवाला","تكامل"
"Random Seed","Random Seed","Random Seed","Random Seed","Random Seed","随机种子","Semilla aleatoria","Случайное зерно","Hạt giống ngẫu nhiên","ランダムシード","Random Seed","임의 화","యాధృచ్ఛిక సీడ్","क्रमरहित बीज","البذور عشوائي"
"Center Body","Center Body","Center Body","Center Body","Center Body","中心体","cuerpo centro","Центр тела","Body Center","中心体","Senter Body","센터 바디","సెంటర్ శరీర","केंद्र शरीर","مركز الجسم"
"NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants","NumberOfGasGiants"
"NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets","NumberOfPlanets"
"NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons","NumberOfMoons"
"NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons","NumberOfSmallMoons"
"Min Planet Distance By Star Radius ","Min Planet Distance By Star Radius ","Min Planet Distance By Star Radius ","Min Planet Distance By Star Radius ","Min Planet Distance By Star Radius ","闵行星距离。通过星半径","Planeta min Distancia Por estrella Radio","Min Planet Расстояние звездного Радиус","Min Planet cách By sao Radius","スター半径分分の距離プラネット","Min Planet Avstand etter Stjerner Radius","스타 반경 최소 행성의 거리","Min ప్లానెట్ దూరం స్టార్ వ్యాసార్ధం ద్వారా","मिन ग्रह दूरी स्टार दायरे के आधार पर","مين كوكب القطر بواسطة ستار الشعاع"
"Max Planet Distance By Star Radius ","Max Planet Distance By Star Radius ","Max Planet Distance By Star Radius ","Max Planet Distance By Star Radius ","Max Planet Distance By Star Radius ","最大行星距离。通过星半径","Max Planeta Distancia Por estrella Radio","Max Planet Расстояние звездного Радиус","Max Planet cách By sao Radius","スター半径だけ最大の惑星の距離","Max Planet Avstand etter Stjerner Radius","스타 반경으로 최대 행성의 거리","మాక్స్ ప్లానెట్ దూరం స్టార్ వ్యాసార్ధం ద్వారా","मैक्स ग्रह दूरी स्टार दायरे के आधार पर","ماكس كوكب القطر بواسطة ستار الشعاع"
"Max Random Inclination of Planets","Max Random Inclination of Planets","Max Random Inclination of Planets","Max Random Inclination of Planets","Max Random Inclination of Planets","行星的最大随机倾角","Max aleatoria inclinación de los planetas","Max Random Склонность Планет","Max nghiêng ngẫu nhiên của hành tinh","惑星のマックスランダム傾き","Max Random Helling av planeter","행성의 최대 임의의 기울기","ప్లానెట్స్ మాక్స్ యాధృచ్ఛిక వంపుని","ग्रहों के मैक्स रैंडम झुकाव","ماكس الميل عشوائية من الكواكب"
"NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies","NumOfGalaxies"
"numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles","numberOfParticles"
"numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles","numberDMParticles"
"relativeSize","relativeSize","relativeSize","relativeSize","relativeSize","relativeSize","tamano relativo","относительный размер","kích thước tương đối","relativeSize","relative","relativeSize","relativeSize","तुलनात्मक आकार","الحجم النسبي"
"includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter","includeDarkMatter"
"E0","E0","E0","E0","E0","E0","E0","E0","E0","E0","E0","E0","E0","E0","E0"
"E1","E1","E1","E1","E1","E1","E1","E1","E1","E1","E1","E1","E1","ई 1","E1"
"E2","E2","E2","E2","E2","E2","E2","E2","E2","E2","E2","E2","E2","E2","E2"
"E3","E3","E3","E3","E3","E3","E3","E3","E3","E3","E3","E3","E3","E3","E3"
"E4","E4","E4","E4","E4","E4","E4","E4","E 4","E4","E4","E4","E4","ई 4","E4"
"E5","E5","E5","E5","E5","E5","E5","E5","E5","E5","E5","E5","E5","E5","E5"
"E6","E6","E6","E6","E6","E6","E6","E6","E6","E6","E6","E6","E6","E6","E6"
"E7","E7","E7","E7","E7","E7","E7","E7","E7","E7","E7","E7","E7","E7","E7"
"S0","S0","S0","S0","S0","S0","S0","S0","S0","S0","S0","S0","S0","S0","S0"
"Sa","Sa","Sa","Sa","Sa","萨","sa","Sa","Sa","サ","Sa","사","Sa","Sa","سا"
"Sb","Sb","Sb","Sb","Sb","锑","sb","Sb","Sb","Sbの","Sb","SB","SB","Sb","بينالي الشارقة"
"Sc","Sc","Sc","Sc","Sc","SC","Carolina del Sur","Южная Каролина","Sc","SC","Sc","사우스 캐롤라이나","Sc","अनुसूचित जाति","الشوري"
"S Ba","S Ba","S Ba","S Ba","S Ba","小号巴","S Ba","S Ба","S Bà","SのBa","S Ba","S 바","S బా","एस बा","S با"
"S Bb","S Bb","S Bb","S Bb","S Bb","小号了Bb","S Bb","S Bb","S Bb","S Bbの","S Bb","S 비비","S Bb","एस बी बी","S ب ب"
"S Bc","S Bc","S Bc","S Bc","S Bc","小号BC","S Bc","S Bc","S Bc","S Bcを","S Bc","S 기원전","S Bc","एस ई.पू.","S قبل الميلاد"
"GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType","GalaxyType"
"SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms","SpiralArms"
"ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle","ArmAngle"
"Arrange","Arrange","Arrange","Arrange","Arrange","安排","Organizar","организовать","Sắp xếp","アレンジ","Arrangere","붙이다","అమర్చు","व्यवस्था","رتب"
"Inner Radius","Inner Radius","Inner Radius","Inner Radius","Inner Radius","内径","Radio interno","Внутренний радиус","Bán kính trong","内径","indre Radius","내부 반경","ఇన్నర్ వ్యాసార్ధం","इनर त्रिज्या","دائرة نصف قطرها الداخلي"
"Outer Radius","Outer Radius","Outer Radius","Outer Radius","Outer Radius","外半径","Radio exterior","внешний радиус","Outer Radius","外半径","ytre Radius","외부 반경","ఔటర్ వ్యాసార్ధం","बाहरी त्रिज्या","دائرة نصف قطرها الخارجي"
"Right Height","Right Height","Right Height","Right Height","Right Height","右边身高","Altura derecha","Правая Высота","ngay Chiều cao","右の高さ","høyre Høyde","오른쪽 신장","కుడి ఎత్తు","सही ऊंचाई","الصحيح الطول"
"Geo","Geo","Geo","Geo","Geo","地理","Geo","Geo","Geo","ジオ","Geo","지오","జియో","भू","الجغرافية"
"Radius Units","Radius Units","Radius Units","Radius Units","Radius Units","半径单位","Unidades de radio","Единицы измерения радиуса","Đơn vị bán kính","半径単位","radius Units","반경 단위","వ్యాసార్ధం యూనిట్లు","त्रिज्या इकाईयाँ","وحدات الشعاع"
"Auto Bounds","Auto Bounds","Auto Bounds","Auto Bounds","Auto Bounds","汽车界","Auto límites","Авто Bounds","Auto Bounds","オート境界","Auto Bounds","자동 경계","ఆటో హద్దులు","ऑटो सीमा","باوندز السيارات"
"Automatically compute realistic inner and outer boundaries","Automatically compute realistic inner and outer boundaries","Automatically compute realistic inner and outer boundaries","Automatically compute realistic inner and outer boundaries","Automatically compute realistic inner and outer boundaries","自动计算现实的内部和外部边界","calcular automáticamente los límites interior y exterior realistas","Автоматически вычислять реалистичные внутренние и внешние границы","Tự động tính toán ranh giới bên trong và bên ngoài thực tế","現実的な内側と外側の境界を自動的に計算します","Automatisk å beregne realistiske indre og ytre grenser","자동 현실적인 내부 및 외부 경계를 계산","స్వయంచాలకంగా వాస్తవిక అంతర్గత మరియు బాహ్య సరిహద్దులను గణించడం","स्वचालित रूप से यथार्थवादी भीतरी और बाहरी सीमाओं की गणना","حساب تلقائيا الحدود الداخلية والخارجية واقعية"
"Show ring gaps","Show ring gaps","Show ring gaps","Show ring gaps","Show ring gaps","环秀差距","lagunas anillo de la demostración","пробелы Показать кольцо","khoảng trống Hiện chiếc nhẫn","ショーリングギャップ","Vis ring hull","쇼 반지 격차","రింగ్ షో ఖాళీలు","अंगूठी शो अंतराल","الفجوات مشاهدة حلقة"
"Include gaps in rings causd by unstable resonances with orbiting bodies","Include gaps in rings causd by unstable resonances with orbiting bodies","Include gaps in rings causd by unstable resonances with orbiting bodies","Include gaps in rings causd by unstable resonances with orbiting bodies","Include gaps in rings causd by unstable resonances with orbiting bodies","包括由不稳定的共振与转动机构causd环的差距","Incluir lagunas en anillos Causd por resonancias inestables con cuerpos orbitando","Включить пробелы в кольцах causd нестабильными резонансов с орбитальными телами","Bao gồm những khoảng trống trong vòng causd bởi cộng hưởng không ổn định với các cơ quan quay quanh","体を周回して不安定な共振によってcausdリングのギャップを含めます","Ta med hull i ringene causd av ustabile resonanser med bane organer","궤도기구와 불안정한 공명에 의해 causd 반지의 격차를 포함","కక్ష్యలో శరీరాలతో అస్థిర ప్రతిధ్వని ద్వారా causd వలయాలు ఖాళీని చేర్చండి","परिक्रमा निकायों के साथ अस्थिर अनुनादों द्वारा causd छल्ले में अंतराल को शामिल करें","وتشمل الثغرات في حلقات causd من الأصداء غير مستقرة مع الهيئات التي تدور حول"
"Rectangle","Rectangle","Rectangle","Rectangle","Rectangle","长方形","Rectángulo","Прямоугольник","Rectangle","矩形","Rektangel","구형","దీర్ఘ చతురస్రం","आयत","مستطيل"
